ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",44390,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.956062890372604
1,"Full time",2022,"2022",6733,"Colorado School of Mines","126775","colorado-school-of-mines",0.9094961502093746
1,"Full time",2022,"2022",28484,"University of North Carolina at Chapel Hill","199120","university-of-north-carolina-at-chapel-hill",0.8984071912947484
1,"Full time",2022,"2022",52402,"Ohio State University-Main Campus","204796","ohio-state-university-main-campus",0.8655764783614139
1,"Full time",2022,"2022",49081,"The University of Texas at Austin","228778","the-university-of-texas-at-austin",0.9369463958460599
1,"Full time",2022,"2022",44262,"University of Wisconsin-Madison","240444","university-of-wisconsin-madison",0.9041179834953836
2,"Part time",2022,"2022",2040,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.04393710962739608
2,"Part time",2022,"2022",670,"Colorado School of Mines","126775","colorado-school-of-mines",0.09050384979062542
2,"Part time",2022,"2022",3221,"University of North Carolina at Chapel Hill","199120","university-of-north-carolina-at-chapel-hill",0.10159280870525154
2,"Part time",2022,"2022",8138,"Ohio State University-Main Campus","204796","ohio-state-university-main-campus",0.13442352163858606
2,"Part time",2022,"2022",3303,"The University of Texas at Austin","228778","the-university-of-texas-at-austin",0.06305360415394014
2,"Part time",2022,"2022",4694,"University of Wisconsin-Madison","240444","university-of-wisconsin-madison",0.09588201650461639
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",43955,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.9531399080579408
1,"Full time",2021,"2021",6439,"Colorado School of Mines","126775","colorado-school-of-mines",0.8959231946570196
1,"Full time",2021,"2021",26490,"University of North Carolina at Chapel Hill","199120","university-of-north-carolina-at-chapel-hill",0.8372048923864606
1,"Full time",2021,"2021",53218,"Ohio State University-Main Campus","204796","ohio-state-university-main-campus",0.8628500089174247
1,"Full time",2021,"2021",48512,"The University of Texas at Austin","228778","the-university-of-texas-at-austin",0.9330845723298263
1,"Full time",2021,"2021",42333,"University of Wisconsin-Madison","240444","university-of-wisconsin-madison",0.9003956100051046
2,"Part time",2021,"2021",2161,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.04686009194205915
2,"Part time",2021,"2021",748,"Colorado School of Mines","126775","colorado-school-of-mines",0.10407680534298037
2,"Part time",2021,"2021",5151,"University of North Carolina at Chapel Hill","199120","university-of-north-carolina-at-chapel-hill",0.1627951076135394
2,"Part time",2021,"2021",8459,"Ohio State University-Main Campus","204796","ohio-state-university-main-campus",0.13714999108257536
2,"Part time",2021,"2021",3479,"The University of Texas at Austin","228778","the-university-of-texas-at-austin",0.06691542767017368
2,"Part time",2021,"2021",4683,"University of Wisconsin-Madison","240444","university-of-wisconsin-madison",0.09960438999489535
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",42939,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.9629953575994079
1,"Full time",2020,"2020",6144,"Colorado School of Mines","126775","colorado-school-of-mines",0.9110320284697508
1,"Full time",2020,"2020",25197,"University of North Carolina at Chapel Hill","199120","university-of-north-carolina-at-chapel-hill",0.8373321813106473
1,"Full time",2020,"2020",52622,"Ohio State University-Main Campus","204796","ohio-state-university-main-campus",0.8574687545829327
1,"Full time",2020,"2020",47298,"The University of Texas at Austin","228778","the-university-of-texas-at-austin",0.9370393850542832
1,"Full time",2020,"2020",39887,"University of Wisconsin-Madison","240444","university-of-wisconsin-madison",0.8935259856630824
2,"Part time",2020,"2020",1650,"University of California-Los Angeles (110662)","110662","university-of-california-los-angeles",0.03700464240059208
