ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",19264,"Northwestern University","147767","northwestern-university",0.8317430162773628
1,"Full time",2022,"2022",16888,"Johns Hopkins University","162928","johns-hopkins-university",0.5399840127897682
1,"Full time",2022,"2022",6701,"Dartmouth College","182670","dartmouth-college",0.9936239620403321
1,"Full time",2022,"2022",15006,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9377577802774654
1,"Full time",2022,"2022",23559,"University of Pennsylvania","215062","university-of-pennsylvania",0.8353959079465267
1,"Full time",2022,"2022",10585,"Brown University","217156","brown-university",0.9460184109393154
2,"Part time",2022,"2022",3897,"Northwestern University","147767","northwestern-university",0.1682569837226372
2,"Part time",2022,"2022",14387,"Johns Hopkins University","162928","johns-hopkins-university",0.4600159872102318
2,"Part time",2022,"2022",43,"Dartmouth College","182670","dartmouth-college",0.006376037959667853
2,"Part time",2022,"2022",996,"Carnegie Mellon University","211440","carnegie-mellon-university",0.062242219722534686
2,"Part time",2022,"2022",4642,"University of Pennsylvania","215062","university-of-pennsylvania",0.1646040920534733
2,"Part time",2022,"2022",604,"Brown University","217156","brown-university",0.0539815890606846
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",18835,"Northwestern University","147767","northwestern-university",0.8046050664274425
1,"Full time",2021,"2021",17255,"Johns Hopkins University","162928","johns-hopkins-university",0.5383943336765578
1,"Full time",2021,"2021",6727,"Dartmouth College","182670","dartmouth-college",0.9949711581127052
1,"Full time",2021,"2021",14069,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9343826791525536
1,"Full time",2021,"2021",23030,"University of Pennsylvania","215062","university-of-pennsylvania",0.8213852628575504
1,"Full time",2021,"2021",10256,"Brown University","217156","brown-university",0.9588631264023935
2,"Part time",2021,"2021",4574,"Northwestern University","147767","northwestern-university",0.19539493357255755
2,"Part time",2021,"2021",14794,"Johns Hopkins University","162928","johns-hopkins-university",0.46160566632344224
2,"Part time",2021,"2021",34,"Dartmouth College","182670","dartmouth-college",0.0050288418872947785
2,"Part time",2021,"2021",988,"Carnegie Mellon University","211440","carnegie-mellon-university",0.06561732084744637
2,"Part time",2021,"2021",5008,"University of Pennsylvania","215062","university-of-pennsylvania",0.17861473714244952
2,"Part time",2021,"2021",440,"Brown University","217156","brown-university",0.04113687359760658
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",17736,"Northwestern University","147767","northwestern-university",0.784674600716719
1,"Full time",2020,"2020",14652,"Johns Hopkins University","162928","johns-hopkins-university",0.5071651090342679
1,"Full time",2020,"2020",6247,"Dartmouth College","182670","dartmouth-college",0.9928480610298792
1,"Full time",2020,"2020",12320,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9113100081366965
1,"Full time",2020,"2020",21785,"University of Pennsylvania","215062","university-of-pennsylvania",0.8204655016571256
1,"Full time",2020,"2020",9613,"Brown University","217156","brown-university",0.96632488942501
2,"Part time",2020,"2020",4867,"Northwestern University","147767","northwestern-university",0.21532539928328098
2,"Part time",2020,"2020",14238,"Johns Hopkins University","162928","johns-hopkins-university",0.4928348909657321
2,"Part time",2020,"2020",45,"Dartmouth College","182670","dartmouth-college",0.0071519389701207884
2,"Part time",2020,"2020",1199,"Carnegie Mellon University","211440","carnegie-mellon-university",0.0886899918633035
2,"Part time",2020,"2020",4767,"University of Pennsylvania","215062","university-of-pennsylvania",0.17953449834287435
2,"Part time",2020,"2020",335,"Brown University","217156","brown-university",0.033675110574989946
1,"Full time",2019,"2019",5208993,"Doctoral Universities","DOC","doctoral-universities",0.7762226976822367
