ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",1062,"university-of-michigan-ann-arbor","general-computer-information-sciences-110101"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110104","Informatics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",8,"university-of-michigan-ann-arbor","informatics"
"11","Computer and Information Sciences and Support Services","1104","Information Sciences","110401","Information Science",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",166,"university-of-michigan-ann-arbor","information-science"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110802","Data Modeling, Warehouse, & Database Administration",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","data-modeling-warehouse-database-administration"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131202","Elementary Education & Teaching",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",39,"university-of-michigan-ann-arbor","elementary-education-teaching"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131205","Secondary Education & Teaching",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",31,"university-of-michigan-ann-arbor","secondary-education-teaching"
"13","Education","1313","Teacher Education for Specific Subject Areas","131312","Music Teacher Education",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",14,"university-of-michigan-ann-arbor","music-teacher-education"
"14","Engineering","1401","General Engineering","140101","General Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","general-engineering-140101"
"14","Engineering","1402","Aerospace, Aeronautical & Astronautical Engineering","140201","Aerospace, Aeronautical, & Astronautical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",164,"university-of-michigan-ann-arbor","aerospace-aeronautical-astronautical-engineering-140201"
"14","Engineering","1405","Biomedical Engineering","140501","Bioengineering & Biomedical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",103,"university-of-michigan-ann-arbor","bioengineering-biomedical-engineering"
"14","Engineering","1407","Chemical Engineering","140701","Chemical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",73,"university-of-michigan-ann-arbor","chemical-engineering-140701"
"14","Engineering","1408","Civil Engineering","140801","General Civil Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",42,"university-of-michigan-ann-arbor","general-civil-engineering"
"14","Engineering","1409","Computer Engineering","140901","General Computer Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",116,"university-of-michigan-ann-arbor","general-computer-engineering"
"14","Engineering","1410","Electrical Engineering","141001","Electrical & Electronics Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",119,"university-of-michigan-ann-arbor","electrical-electronics-engineering"
"14","Engineering","1412","Engineering Physics","141201","Engineering Physics & Applied Physics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",14,"university-of-michigan-ann-arbor","engineering-physics-applied-physics"
"14","Engineering","1413","Engineering Science","141301","Engineering Science",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","engineering-science-141301"
"14","Engineering","1414","Environmental Engineering","141401","Environmental Health Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",30,"university-of-michigan-ann-arbor","environmental-health-engineering"
"14","Engineering","1418","Materials Engineering","141801","Materials Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",42,"university-of-michigan-ann-arbor","materials-engineering-141801"
"14","Engineering","1419","Mechanical Engineering","141901","Mechanical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",275,"university-of-michigan-ann-arbor","mechanical-engineering-141901"
"14","Engineering","1422","Marine Engineering & Architecture","142201","Naval Architecture & Marine Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",25,"university-of-michigan-ann-arbor","naval-architecture-marine-engineering"
"14","Engineering","1423","Nuclear Engineering","142301","Nuclear Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",19,"university-of-michigan-ann-arbor","nuclear-engineering-142301"
"14","Engineering","1435","Industrial Engineering","143501","Industrial Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",170,"university-of-michigan-ann-arbor","industrial-engineering-143501"
"14","Engineering","1439","Geological & Geophysical Engineering","143901","Geological & Geophysical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","geological-geophysical-engineering-143901"
"14","Engineering","1442","Robotics & Automation Engineering","144201","Mechatronics, Robotics, & Automation Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","mechatronics-robotics-automation-engineering"
"15","Engineering Technologies","1503","Electrical Engineering Technologies","150307","Audio Engineering Technology/Technician",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",4,"university-of-michigan-ann-arbor",
"16","Language & Linguistics","1601","Linguistic, Comparative, & Related Language Studies","160102","Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",30,"university-of-michigan-ann-arbor","linguistics"
"16","Language & Linguistics","1601","Linguistic, Comparative, & Related Language Studies","160104","Comparative Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",3,"university-of-michigan-ann-arbor","comparative-literature"
"16","Language & Linguistics","1604","Slavic, Baltic, & Albanian Languages, Literatures, & Linguistics","160402","Russian Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",5,"university-of-michigan-ann-arbor","russian-language-literature"
"16","Language & Linguistics","1604","Slavic, Baltic, & Albanian Languages, Literatures, & Linguistics","160407","Polish Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",2,"university-of-michigan-ann-arbor","polish-language-literature"
"16","Language & Linguistics","1605","Germanic Languages, Literatures, & Linguistics","160501","German Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",34,"university-of-michigan-ann-arbor","german-language-literature"
"16","Language & Linguistics","1606","Modern Greek Languages & Literature","160601","Modern Greek Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","modern-greek-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160900","General Romance Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",5,"university-of-michigan-ann-arbor","general-romance-languages-literatures-linguistics"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160901","French Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",19,"university-of-michigan-ann-arbor","french-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160902","Italian Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",3,"university-of-michigan-ann-arbor","italian-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160905","Spanish Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",88,"university-of-michigan-ann-arbor","spanish-language-literature"
"16","Language & Linguistics","1611","Middle Eastern & Semitic Languages, Literatures, & Linguistics","161199","Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",9,"university-of-michigan-ann-arbor","other-middlenear-eastern-semetic-languages-literatures-linguistics"
"16","Language & Linguistics","1612","Classical Languages, Literatures, & Linguistics","161200","General Classical Language, Literature, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",2,"university-of-michigan-ann-arbor","general-classical-language-literature-linguistics"
"16","Language & Linguistics","1612","Classical Languages, Literatures, & Linguistics","161202","Ancient/Classical Greek Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",0,"university-of-michigan-ann-arbor","ancientclassical-greek-language-literature"
"16","Language & Linguistics","1612","Classical Languages, Literatures, & Linguistics","161203","Latin Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",2,"university-of-michigan-ann-arbor","latin-language-literature"
"23","English","2301","General English Language & Literature","230101","General English Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",98,"university-of-michigan-ann-arbor","general-english-language-literature-230101"
"23","English","2313","Rhetoric & Composition","231302","Creative Writing",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",29,"university-of-michigan-ann-arbor","creative-writing-231302"
"24","Liberal Arts & Humanities","2401","Liberal Arts & Sciences","240102","General Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","170976","University of Michigan-Ann Arbor",5,"Bachelors Degree",50,"university-of-michigan-ann-arbor","general-studies"
