ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",456,"the-university-of-texas-at-austin","general-computer-information-sciences-110101"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110104","Informatics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","informatics"
"14","Engineering","1402","Aerospace, Aeronautical & Astronautical Engineering","140201","Aerospace, Aeronautical, & Astronautical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",97,"the-university-of-texas-at-austin","aerospace-aeronautical-astronautical-engineering-140201"
"14","Engineering","1404","Architectural Engineering","140401","Architectural Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",52,"the-university-of-texas-at-austin","architectural-engineering-140401"
"14","Engineering","1405","Biomedical Engineering","140501","Bioengineering & Biomedical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",118,"the-university-of-texas-at-austin","bioengineering-biomedical-engineering"
"14","Engineering","1407","Chemical Engineering","140701","Chemical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",131,"the-university-of-texas-at-austin","chemical-engineering-140701"
"14","Engineering","1408","Civil Engineering","140801","General Civil Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",143,"the-university-of-texas-at-austin","general-civil-engineering"
"14","Engineering","1410","Electrical Engineering","141001","Electrical & Electronics Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",320,"the-university-of-texas-at-austin","electrical-electronics-engineering"
"14","Engineering","1414","Environmental Engineering","141401","Environmental Health Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",53,"the-university-of-texas-at-austin","environmental-health-engineering"
"14","Engineering","1419","Mechanical Engineering","141901","Mechanical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",266,"the-university-of-texas-at-austin","mechanical-engineering-141901"
"14","Engineering","1425","Petroleum Engineering","142501","Petroleum Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",75,"the-university-of-texas-at-austin","petroleum-engineering-142501"
"14","Engineering","1439","Geological & Geophysical Engineering","143901","Geological & Geophysical Engineering",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",6,"the-university-of-texas-at-austin","geological-geophysical-engineering-143901"
"16","Language & Linguistics","1601","Linguistic, Comparative, & Related Language Studies","160102","Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",50,"the-university-of-texas-at-austin","linguistics"
"16","Language & Linguistics","1603","East Asian Languages, Literatures, & Linguistics","160300","General East Asian Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",25,"the-university-of-texas-at-austin","general-east-asian-languages-literatures-linguistics"
"16","Language & Linguistics","1605","Germanic Languages, Literatures, & Linguistics","160501","German Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",2,"the-university-of-texas-at-austin","german-language-literature"
"16","Language & Linguistics","1605","Germanic Languages, Literatures, & Linguistics","160502","Scandanavian Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","scandanavian-languages-literatures-linguistics"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160901","French Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",5,"the-university-of-texas-at-austin","french-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160902","Italian Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","italian-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160904","Portuguese Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","portuguese-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160905","Spanish Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",12,"the-university-of-texas-at-austin","spanish-language-literature"
"16","Language & Linguistics","1609","Romance Languages, Literatures, & Linguistics","160908","General Hispanic & Latin American Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",22,"the-university-of-texas-at-austin","general-hispanic-latin-american-languages-literatures-linguistics"
"16","Language & Linguistics","1611","Middle Eastern & Semitic Languages, Literatures, & Linguistics","161100","Middle Eastern & Semetic Languages, Literatures, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",8,"the-university-of-texas-at-austin","middle-eastern-semetic-languages-literatures-linguistics"
"16","Language & Linguistics","1612","Classical Languages, Literatures, & Linguistics","161200","General Classical Language, Literature, & Linguistics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",11,"the-university-of-texas-at-austin","general-classical-language-literature-linguistics"
"19","Human Sciences","1901","General Family & Consumer Sciences","190101","General Family & Consumer Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",17,"the-university-of-texas-at-austin","general-family-consumer-sciences-190101"
"19","Human Sciences","1905","Foods, Nutrition, & Related Services","190501","General Food, Nutrition, & Wellness Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",18,"the-university-of-texas-at-austin","general-food-nutrition-wellness-studies"
"19","Human Sciences","1907","Human Development & Family Studies","190701","General Human Development & Family Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",158,"the-university-of-texas-at-austin","general-human-development-family-studies"
"19","Human Sciences","1909","Apparel & Textiles","190901","General Apparel & Textiles",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",41,"the-university-of-texas-at-austin","general-apparel-textiles"
"23","English","2301","General English Language & Literature","230101","General English Language & Literature",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",156,"the-university-of-texas-at-austin","general-english-language-literature-230101"
"23","English","2313","Rhetoric & Composition","231301","General Writing",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",49,"the-university-of-texas-at-austin","general-writing"
"24","Liberal Arts & Humanities","2401","Liberal Arts & Sciences","240101","Liberal Arts & Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",125,"the-university-of-texas-at-austin","liberal-arts-sciences-240101"
"24","Liberal Arts & Humanities","2401","Liberal Arts & Sciences","240103","Humanistic Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",15,"the-university-of-texas-at-austin","humanistic-studies"
"24","Liberal Arts & Humanities","2401","Liberal Arts & Sciences","240199","Other Liberal Arts & Sciences, General Studies, & Humanities",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",113,"the-university-of-texas-at-austin","other-liberal-arts-sciences-general-studies-humanities"
"26","Biology","2601","General Biology","260101","General Biological Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",671,"the-university-of-texas-at-austin","general-biological-sciences"
"26","Biology","2602","Biochemistry, Biophysics, & Molecular Biology","260202","Biochemistry",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",331,"the-university-of-texas-at-austin","biochemistry"
"26","Biology","2615","Neurobiology & Neurosciences","261501","Neuroscience",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",264,"the-university-of-texas-at-austin","neuroscience-261501"
"27","Math & Statistics","2701","Mathematics","270101","General Mathematics",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",358,"the-university-of-texas-at-austin","general-mathematics"
"30","Interdisciplinary Studies","3008","Mathematics & Computer Science","300801","Mathematics & Computer Science",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","mathematics-computer-science-300801"
"30","Interdisciplinary Studies","3019","Nutrition Sciences","301901","Nutrition Sciences",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",119,"the-university-of-texas-at-austin","nutrition-sciences-301901"
"30","Interdisciplinary Studies","3020","International Studies","302001","International & Global Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",193,"the-university-of-texas-at-austin","international-global-studies"
"30","Interdisciplinary Studies","3023","Multicultural & Diversity Studies","302301","Intercultural, Multicultural, & Diversity Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",1,"the-university-of-texas-at-austin","intercultural-multicultural-diversity-studies"
"30","Interdisciplinary Studies","3030","Computational Science","303001","Computational Science",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",19,"the-university-of-texas-at-austin","computational-science-303001"
"30","Interdisciplinary Studies","3033","Sustainability Studies","303301","Sustainability Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",77,"the-university-of-texas-at-austin","sustainability-studies-303301"
"30","Interdisciplinary Studies","3099","Other Interdisciplinary Studies","309999","Other Multidisciplinary Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",167,"the-university-of-texas-at-austin","other-multidisciplinary-studies"
"31","Parks, Recreation, & Leisure","3105","Health & Physical Education","310501","General Health & Physical Education",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",31,"the-university-of-texas-at-austin","general-health-physical-education"
"31","Parks, Recreation, & Leisure","3105","Health & Physical Education","310504","Sport & Fitness Management",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",83,"the-university-of-texas-at-austin","sport-fitness-management"
"31","Parks, Recreation, & Leisure","3105","Health & Physical Education","310505","Kinesiology & Exercise Science",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",176,"the-university-of-texas-at-austin","kinesiology-exercise-science"
"38","Philosophy and Religious Studies","3801","Philosophy","380101","Philosophy",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",51,"the-university-of-texas-at-austin","philosophy-380101"
"38","Philosophy and Religious Studies","3802","Religious Studies","380201","Religious Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",9,"the-university-of-texas-at-austin","religious-studies-380201"
"38","Philosophy and Religious Studies","3802","Religious Studies","380205","Islamic Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",0,"the-university-of-texas-at-austin","islamic-studies"
"38","Philosophy and Religious Studies","3802","Religious Studies","380206","Judaic Studies",2022,"2022","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","228778","The University of Texas at Austin",5,"Bachelors Degree",1,"the-university-of-texas-at-austin","judaic-studies"
